Epoch,MSE Loss
1,300356.98488677107
2,61598.368924970055
3,23786.15084157513
4,14900.110738379299
5,11898.953127626795
6,11802.496166979428
7,10679.536169008468
8,7769.148600030458
9,8137.512034040759
10,9919.960160847695
11,7243.741345569957
12,5918.0710544306785
13,6177.499853989924
14,5367.784780649876
15,9085.078332694902
16,5170.048467350556
17,5819.340498329737
18,4349.236394389096
19,4389.83013314323
20,3710.0674834640377
21,3668.844834663163
22,4198.042581411151
23,4130.079496701772
24,3529.216054777178
25,3757.089368495057
26,3472.0261170728627
27,4275.479584480927
28,3615.245186520333
29,3590.9054659946705
30,3922.9561921148415
31,3530.90911760334
32,3312.2011565183784
33,3261.299415859452
34,3710.0904855664267
35,3375.034105994564
36,3122.0545844869484
37,3373.7899966591067
38,4027.5548622175265
39,3274.2755674405053
40,3777.5548630622507
41,3185.1494948820036
42,3125.5324487362086
43,3377.390794476756
44,3355.591460950556
45,2851.34933128157
46,3360.510385429632
47,2997.236237092933
48,3027.792682522442
49,2887.219071387619
50,3569.168178433305
51,2805.1978489247995
52,3181.237974629985
53,3206.263167759782
54,2704.7137072797777
55,3097.6050608183286
56,3904.5625157686445
57,2767.50679616633
58,2421.1320277207124
59,2690.148011059413
60,2738.9887305510492
61,2805.966917671176
62,2605.083487579832
63,2704.5201145736064
64,2774.920909693712
65,2321.2998679818265
66,2765.238101671799
67,2857.143026439153
68,2824.643673005514
69,2695.6818908536807
70,2286.2889521644684
71,2666.960052642855
72,2111.544350326614
73,3968.4627393341507
74,2905.4048118760693
75,2831.8101475362346
76,2828.282038262754
77,2780.066330406815
78,2872.512088250034
79,2626.4908007591876
80,2416.565500452096
81,2492.039394940133
82,2304.5689518783765
83,2615.8912066255143
84,2608.952599080876
85,2713.9662843827973
86,2310.5213791952265
87,2208.263840698288
88,2360.4736799508973
89,2251.3192773195915
90,2320.41057176661
91,2284.668523335946
92,2295.26650071473
93,2127.7739498595765
94,2086.9344472994126
95,2292.0917226649617
96,2465.43586010953
97,2423.657296631427
98,1938.342918874303
99,2142.297726423247
100,2510.9716532705934
101,2078.1140615624026
102,2217.0294406836765
103,2333.8239454957657
104,1978.7146310697135
105,2239.681134507293
106,2007.296298434143
107,2055.9580392904318
108,1819.4845680191647
109,1951.445052487834
110,2057.2738534618693
111,2080.821814531242
112,2324.297604731255
113,1980.7679550799658
114,1869.0982094575302
115,1857.2634241859341
116,11672.021375994023
117,4326.779920422196
118,3958.9059507913043
119,2720.981877402388
120,2808.6853650167177
121,2579.905254867859
122,2442.776570864633
123,2410.9441152599757
124,2183.555265332063
125,2022.6334888042911
126,2051.911200971066
127,2131.488551080416
128,2133.4787335661385
129,2126.047620702724
130,2492.6729221622954
131,2073.0963556357456
132,1931.3943930315436
133,2240.8828698559373
134,1903.390654099523
135,1969.2527957746352
136,1897.1757541185361
137,1662.3998087742948
138,1958.5299263765628
139,1926.546112150827
140,1866.3975117046066
141,1999.6452204952075
142,1811.036209828817
143,1813.1440124980872
144,1836.6399135921529
145,1857.365316073352
146,1926.6108569465723
147,1836.0003183969675
148,1698.791625806436
149,1911.5710450366605
150,2469.1485533328378
151,1691.521233435269
152,1834.0197623723361
153,1649.5753974365362
154,1823.1017629574926
155,1720.7187351297907
156,1671.8610081738589
157,1651.125403743019
158,1588.6520711988123
159,1635.7787840291276
160,1425.5840928850812
161,1600.259251126612
162,1505.7921426464454
163,1617.800379721637
164,1709.6488741635112
165,1487.1070874539582
166,1457.8602901276317
167,1625.7513012978015
168,1628.2019733092748
169,1487.399585151259
170,1523.076580428169
171,1468.6638085104642
172,1423.2752828985685
173,1422.585672618763
174,1469.6699024145346
175,1291.2927517935896
176,1411.849161152495
177,1511.5660677198757
178,1433.3852960569202
179,1528.1221825608518
180,1655.5277593451465
181,1370.724396046222
182,1339.7804100858339
183,1659.8692882120376
184,1272.2283037066081
185,1436.4154490028013
186,1307.9579593572125
187,1696.8347795386653
188,1189.9434800051677
189,1381.3792352051823
190,1320.3037084772077
191,1460.1104333511903
192,1333.3247127395443
193,1231.338927434219
194,1312.5593617855484
195,1312.4178334650933
196,1127.0380403671443
197,1363.4851507163257
198,1159.7723639221367
199,1130.2429475487006
200,1235.447615716519
201,1142.9434681658604
202,1175.3118204380735
203,1098.4549259323103
204,1099.1990093616914
205,1100.6946139889624
206,1199.3612928411312
207,1089.095309997807
208,1130.697852350524
209,1249.3633042085858
210,1069.6401899686316
211,1741.920935791466
212,1061.510381866392
213,1015.667301392139
214,1005.8822852972953
215,1104.6458513089456
216,1045.607539747216
217,1125.1160741109634
218,1105.2359447259514
219,1015.1508627857838
220,1067.236943174299
221,1014.1935027921136
222,1095.2120773991337
223,885.3584054232342
224,1063.9596456386207
225,1060.105354637737
226,1002.2035377682623
227,1228.025956725658
228,913.3947924801469
229,1029.9965626881021
230,922.4618770831439
231,1236.0859002913785
232,881.2157718971866
233,1148.4777608811419
234,920.4099297622888
235,956.9163473563094
236,926.9266761962499
237,797.4294304542273
238,893.5745859824383
239,850.4003423689282
240,890.7774651232321
241,910.4992309332883
242,689.5916791224881
243,755.2739144406078
244,981.3645767239941
245,820.4702019716497
246,785.2856554265163
247,751.0049072663533
248,1802.0846484163048
249,1890.2410644799238
250,838.8172329459485
251,845.1687774712773
252,841.023372610216
253,806.0965050290979
254,968.4601825894351
255,850.9909262476722
256,931.0734644335171
257,847.9583857658581
258,628.4354039051395
259,878.1907024899119
260,680.6074430249428
261,2127.7570425936283
262,1266.799417338043
263,981.9048767482163
264,724.1529311017512
265,1588.9596377634007
266,1177.5187502695626
267,1118.3499908663362
268,956.9204663013224
269,1009.9842911159649
270,999.5515325148881
271,788.6675973879173
272,916.0787355821813
273,675.7743678607367
274,776.8320998306299
275,1371.6464655684977
276,667.2658855120098
277,699.5723678606446
278,664.2260569547216
279,909.2130146252748
280,661.3208423325705
281,663.9997767947352
282,759.512923977265
283,820.1076846938668
284,675.1800436872145
285,753.939987290054
286,767.2432606685034
287,826.8657288525865
288,700.2707786975225
289,736.8035989664058
290,867.5824365351582
291,690.0744027441542
292,560.0357843767415
293,749.878132546437
294,802.0397716499574
295,626.5086068414676
296,643.4707117900252
297,728.2240946127276
298,685.3850623808539
299,1045.3791705495678
300,624.0286533011677
301,766.5160836818395
302,594.3772975669563
303,742.599507611405
304,563.738610229746
305,634.1022667390207
306,618.7443875938334
307,946.4726037682121
308,552.8248305889865
309,706.4852351678855
310,674.3927626484074
311,510.5545750933816
312,611.481495252985
313,776.064628217282
314,566.0259154568921
315,573.4909975562769
316,542.4896764031
317,545.6543851096067
318,560.5793349246087
319,527.249138262021
320,585.5472638046194
321,534.1085560163338
322,561.1940564736433
323,606.9577379862749
324,641.6715397447115
325,521.1080061269604
326,486.7525911611592
327,462.6548558683862
328,771.1792250218568
329,778.6091758826369
330,587.1924679015792
331,462.22337184177013
332,576.5641734916426
333,558.9368563921162
334,448.6549046356231
335,498.2857451623131
336,601.5184867489879
337,586.5816026637622
338,611.9713301038428
339,449.5475814552774
340,484.3333038643468
341,510.91346081436495
342,435.9632473646925
343,447.9351099717751
344,500.0871163238189
345,462.5031327671895
346,517.3502104063373
347,1031.9068858883402
348,592.3071731794043
349,629.5710894574877
350,351.1361369732185
351,472.9588321637275
352,470.8939834827179
353,478.5774210045929
354,624.4997211170703
355,441.5897823594423
356,528.4054123242095
357,889.4119348514942
358,508.18784566337126
359,462.834096142411
360,451.4005322605808
361,410.0370935001556
362,443.81215093637
363,582.554726404851
364,434.09017705328006
365,467.75516007459373
366,449.9467905884376
367,488.06334921765665
368,425.25027169517125
369,418.31253293358895
370,512.5006665954279
371,431.6161894870165
372,452.9473282099061
373,480.0943050678761
374,1445.8854607751855
375,467.4544392544485
376,581.8362991269387
377,479.94284904914093
378,503.7726638697786
379,465.3810563694133
380,503.8505594477465
381,379.5109123393049
382,387.055382696999
383,388.9048717952537
384,461.55206738783454
385,401.3924895612581
386,441.3265986391634
387,405.31629932315263
388,457.9858864636917
389,390.1426657330012
390,303.54599676163343
391,423.5566693793371
392,448.5122546276107
393,321.41368481620157
394,419.89947083180596
395,401.80539062233584
396,383.18652780413686
397,358.29612990946043
398,500.0967169957439
399,435.07343024376314
400,385.4563868762925
401,437.332621742622
402,305.7955981288542
403,476.0708338746772
404,456.21934324687754
405,339.74836212105583
406,298.9413133623748
407,351.9715312465851
408,417.0976170059439
409,491.24264072718506
410,257.95982130362245
411,372.0503530909773
412,350.0745297509857
413,366.5293486673763
414,339.53917765265214
415,297.13601738758734
416,351.9218622610206
417,368.39574964022904
418,362.4275476754701
419,277.95634906542546
420,348.47610281058587
421,388.29590889203246
422,277.26771325488517
423,373.891330068509
424,347.6274704270181
425,333.02171636103594
426,341.0830008263147
427,362.3766291226784
428,269.62321849080035
429,364.4612580560206
430,326.911268222917
431,329.0869823602552
432,523.4561970932264
433,325.09651713763014
434,348.3121834337944
435,404.7545999738213
436,362.6260036302556
437,285.0530474748375
438,368.0939903722028
439,330.02782600010687
440,377.384519208601
441,433.72945501421054
442,249.16913160703552
443,314.78815037776076
444,249.81442348459677
445,217.96428906363144
446,332.36355367986835
447,302.0421392987482
448,334.7616017273249
449,295.44083116028924
450,328.57111250075104
451,319.9362870170153
452,307.3517734404304
453,292.3561566363496
454,313.0255408254452
455,314.2596792630793
456,356.6568302048836
457,266.6755914499372
458,279.7850929974811
459,254.34145873256784
460,360.26960176450666
461,242.63461022332194
462,215.01190176978707
463,394.11752575758146
464,390.3904287961632
465,285.2660365951742
466,260.3118417379592
467,366.90945659605495
468,372.960900486898
469,1155.5935316304676
470,380.2638223479589
471,499.85742023382045
472,365.39333298348356
473,272.39414691265847
474,323.0500752921216
475,340.30719019810203
476,212.30483259650646
477,353.7629073523276
478,399.99153755376756
479,300.0338359910529
480,257.992727513265
481,279.05598997064226
482,223.50955265916127
483,327.3239098620397
484,345.8271716875315
485,326.2592725264549
486,460.6554197107471
487,299.3219644835335
488,257.36235967456014
489,295.1319322094496
490,244.7837437125272
491,289.16968021640787
492,220.22495227266336
493,253.26533277478302
494,211.75127970032918
495,258.57763198646717
496,3045.136829762734
497,1942.4565613469604
498,1307.0994713505934
499,439.97584948290023
500,367.4882653612294
501,381.9492926599196
502,346.9649346208025
503,387.82949138204276
504,205.1131194128975
505,335.05662673772895
506,270.92577983255615
507,237.94907016467187
508,327.82595036427665
509,332.12231883862114
510,336.6452307912259
511,230.1364001090551
512,591.5256647875067
513,287.8562459561508
514,279.7129776813381
515,356.3203771663684
516,250.5688522291457
517,366.0749722528126
518,273.4219501999032
519,240.03874140656262
520,296.1901425635151
521,326.7167115078191
522,331.38573905359954
523,240.99750725273043
524,194.41487441470963
525,328.91820607194677
526,241.38720853402629
527,254.52571256157535
528,249.52771177241812
529,230.24289504731132
530,525.4991841959272
531,345.157933995215
532,253.6621766550379
533,429.89763778692577
534,290.86042205555714
535,285.47564143681666
536,263.6265390644694
537,420.4071559568547
538,259.82724597379274
539,345.0755644348246
540,279.14171811926644
541,277.26850061102596
542,234.94991838025453
543,292.0961557691335
544,250.11765350260248
545,261.1940849252569
546,263.71585876712925
547,243.50625364056032
548,239.3733231374208
549,217.28083594329655
550,197.54742871994677
551,241.02695436844078
552,298.36635930005286
553,302.47882746424875
554,236.72051258165448
555,262.4815930879704
556,238.4987946551846
557,215.91186677962833
558,224.06312242161948
559,279.85498311348783
560,246.3715311727574
561,241.80201953208598
562,243.83345439698314
563,188.98402905544208
564,285.9548980701802
565,260.92654224268335
566,195.12167391218827
567,193.86566787977063
568,215.70686159891193
569,229.38455180457095
570,185.44171853792795
571,229.88128177153703
572,277.11876336098067
573,174.54128129823948
574,235.87638274522033
575,457.87311729269277
576,246.6376294602669
577,232.46626658554305
578,293.10574055805046
579,170.21995090365817
580,242.40209871261322
581,289.80095648900897
582,187.64380144096503
583,195.71802814948023
584,210.4841571221623
585,214.26221007671847
586,241.5099690193747
587,216.21916667894402
588,207.6624345248856
589,215.9850906405045
590,241.1766693500249
591,232.404262176904
592,245.0193188174453
593,224.27088096823718
594,298.4338028617931
595,270.0248745245917
596,198.9150912774203
597,191.74290901089262
598,174.1058011139976
599,225.6578840266011
600,235.9799301114399
601,226.90955938128172
602,199.03545226407005
603,241.4701650440693
604,202.3679150263779
605,173.7008863982919
606,231.5671591284481
607,300.17208495338855
608,221.1954468548065
609,198.7017886533431
610,177.93170037769596
611,159.66541734081693
612,188.96719957669848
613,221.2309242845513
614,166.50587015649944
615,199.7654935050523
616,284.1324749315245
617,196.64633231173502
618,196.40767551306635
619,171.9708511064382
620,170.30731100177218
621,251.19667336637212
622,295.489368112394
623,180.5008195197006
624,193.97514934539504
625,259.89988044385973
626,194.99827488885785
627,239.34967009392858
628,205.0479455901368
629,189.3966440285003
630,172.09659832081525
631,205.8241882888251
632,139.27075994851475
633,205.61014835587412
634,182.265145981175
635,196.67012965532194
636,159.9385971379961
637,196.6478057825152
638,218.5935977929039
639,190.52490229689283
640,191.07809771079337
641,181.06740266353881
642,174.53550570456719
643,229.651249539922
644,190.77749769276124
645,199.8972830477287
646,175.55964445004065
647,214.62759093292698
648,187.50361518919817
649,263.4635250011488
650,158.38299451337662
651,186.76977893340518
652,209.32060585467843
653,204.4416027211555
654,188.7826868728589
655,204.7435445550509
656,186.10669773574045
657,195.16394324140856
658,165.76940623913833
659,206.62773528753314
660,198.53817536901624
661,162.88743061026616
662,248.03517173691944
663,190.83554524141073
664,179.04346405797696
665,245.18878423448768
666,522.2483446549304
667,304.68351209805405
668,231.09082540584495
669,190.48332469663
670,215.9225472119142
671,205.69726880475355
672,206.86340997484513
673,247.80059806334611
674,255.63182173985115
675,265.1660341303068
676,265.55016398458974
677,136.68773938913364
678,173.06374279349984
679,173.8286067500012
680,220.56246657118027
681,245.7460801734269
682,225.27299381299235
683,184.07483280316228
684,292.28914668853395
685,146.53388010855997
686,301.23856658856675
687,175.5858129869448
688,204.7946501395345
689,171.54815284784127
690,355.36390914760705
691,221.7550204864965
692,202.70792895645718
693,206.14162993623177
694,271.92291818938975
695,181.3980304436409
696,214.45833617950848
697,185.3472356764687
698,169.83361039128795
699,220.68352462380426
700,162.54983250694931
701,149.2930915433244
702,175.08178686516476
703,198.65932507260004
704,149.64555255715095
705,160.24456775540602
706,203.1230815283634
707,180.62289429211523
708,139.4894382152561
709,169.95145911176223
710,182.2329183673137
711,156.18266663003305
712,260.11771744430007
713,220.91356473807537
714,173.75846909795655
715,167.2815803053818
716,164.81631697533885
717,166.48809986491688
718,170.58500733705296
719,206.01376958137553
720,174.44463330948201
721,298.7817033789179
722,199.85127624779125
723,172.7405310421891
724,165.73581747993012
725,243.3580303790077
726,175.22739848248602
727,169.70444825042796
728,146.7656077089341
729,195.63985123591556
730,133.78873748358455
731,181.5124174352095
732,174.9716819206078
733,214.3775415001437
734,176.50941409077495
735,201.2384750039928
736,180.07383126221248
737,181.30512169709255
738,131.81150734041876
739,183.64765568848816
740,200.49490164159215
741,162.8125848146301
742,178.721712028404
743,179.74557840944908
744,200.7882572622184
745,113.27464769250946
746,184.26149720336252
747,218.70219229132636
748,211.07031820941484
749,140.6109304169513
750,190.3198638214817
751,204.24206914675597
752,174.90326777551672
753,185.93226860846335
754,161.18407472826948
755,127.08917705620115
756,179.1287482920452
757,119.7801268723706
758,198.5529439947568
759,188.22326580622757
760,174.7112881662324
761,182.95219949854072
762,267.8758834980981
763,227.98081951899803
764,240.55352348323504
765,194.1922131124884
766,201.65770242200233
767,182.2265126419079
768,128.17701056867372
769,158.89758583628281
770,185.6860454230191
771,197.0328614840255
772,162.4698705245828
773,159.76672054393566
774,175.33710850746138
775,163.74413263177848
776,300.2636816725426
777,152.73490325149032
778,175.88698219555954
779,149.01893998589367
780,144.45903724596428
781,174.66742496237566
782,159.55296035954962
783,137.1730171572708
784,209.69189841498155
785,142.06200434354832
786,151.4405593330739
787,149.63713607330283
788,201.22210991827887
789,158.4686689240625
790,187.84287455091544
791,194.23698301045806
792,174.71167190506821
793,155.0225246582122
794,165.85515190119622
795,155.83626922455733
796,265.76849366675015
797,165.0857398898952
798,119.46718280190544
799,145.4221811072639
800,161.78879189006693
801,171.97748632839648
802,158.72233228257392
803,150.7004911165568
804,182.83445706852945
805,179.2112033560552
806,139.52789639341063
807,214.80568761978066
808,218.37775057193357
809,160.726987821894
810,139.6397796338424
811,175.88418823115353
812,192.10935439805326
813,194.22933973446197
814,114.92877012852114
815,112.93137851382198
816,136.83187581819948
817,168.61932657082798
818,127.3263599674683
819,168.23382856705575
820,172.75179563931306
821,141.02054357822635
822,211.66878057651047
823,137.38045524506015
824,148.05907100217883
825,156.5214339136146
826,144.26961913553532
827,113.38613258497207
828,139.44690955003898
829,157.53275031549856
830,142.03140670339053
831,142.47036152526562
832,360.819389439479
833,217.71510213258443
834,128.49882604769664
835,170.80454479051696
836,223.9190861944371
837,156.78296259570925
838,156.9983136892988
839,152.0604893207783
840,149.33491883371607
841,128.54422183379938
842,142.28414093986794
843,170.41120147575566
844,201.14132327632979
845,141.47848162143782
846,138.47913478370174
847,112.56520314361842
848,146.18302484872402
849,148.51065468876914
850,155.3250983286125
851,186.52511489340395
852,146.77966718387324
853,207.6241161828657
854,135.28585961676436
855,165.46435631159693
856,171.22930642246502
857,157.67662600820768
858,165.69017671102483
859,163.22985993907787
860,160.91858840140048
861,153.48097907305055
862,125.24623566641822
863,132.86540002259426
864,154.50257591877016
865,135.18598165610456
866,249.86857117566979
867,154.54053859302076
868,162.59325741717475
869,208.14631194074173
870,197.62536658921454
871,187.66354468303325
872,141.88604766543722
873,202.92451167604304
874,110.34022921718133
875,164.95967815896438
876,332.27903404505923
877,177.45701413923234
878,189.11252326793328
879,155.35838927162695
880,170.74440015696746
881,113.45447157295712
882,167.6825330007414
883,155.66283405535796
884,150.32594009629975
885,149.1026779475651
886,141.49953411404567
887,142.65684285618772
888,150.97879679217294
889,170.70766913522675
890,145.03314040666737
891,148.70032218254346
892,136.001859255397
893,132.13382081304735
894,161.16318604853586
895,134.54807272659673
896,157.73756582432543
897,151.80711910083483
898,178.79910729838593
899,156.04027902283997
900,112.44612422189675
901,166.66445037451922
902,146.34738277325232
903,135.8946125133807
904,167.1554828194785
905,193.7420305906271
906,177.61842295678798
907,158.54316501646827
908,124.88491075400088
909,185.23738802767184
910,138.2706351661618
911,171.7484352268657
912,142.32737203703437
913,213.7171516152739
914,147.03567248178297
915,129.98303361878789
916,176.36583694219007
917,140.10009002508014
918,135.47107162697648
919,153.83253358655202
920,128.39176511229016
921,123.53339619058534
922,174.59906411884003
923,164.41739390973817
924,164.20712118959636
925,133.17442601644143
926,170.0254453711823
927,139.26144999216194
928,133.46779099054402
929,119.90898990676214
930,146.36652853168198
931,125.95204146082688
932,207.55165503895842
933,143.64928743595374
934,140.30767061274673
935,118.15524499026651
936,152.03957191316294
937,192.42665664321976
938,139.4803513920051
939,159.7008287015342
940,148.6286550444638
941,108.08235122036422
942,151.20130915522168
943,118.41467549295339
944,130.06512104654394
945,152.23616055949242
946,111.5981719896663
947,143.57668176582956
948,151.62487708394474
949,141.7667103985441
950,118.91288717802672
951,138.1729606980516
952,151.97004902886692
953,123.1484059458453
954,108.79835265569272
955,162.46118722655228
956,101.43124184496992
957,164.28046386886854
958,151.38079098440357
959,130.58526559376332
960,133.4589676158066
961,190.36520184496476
962,158.90490004740423
963,99.55045846183202
964,161.23106754432956
965,116.9712187522382
966,137.84698142482375
967,171.46818213096412
968,129.8672743071511
969,164.44463126244955
970,138.14048433671996
971,141.73518960396177
972,123.74221624285565
973,128.53988619380107
974,285.7267139457108
975,149.61595443183614
976,123.12093088247639
977,121.65187396785768
978,154.21883367179544
979,133.1227824477828
980,154.4409622969397
981,114.18037250962516
982,132.6633665899135
983,151.0218422523467
984,118.96735007109237
985,169.76289506252215
986,146.56940114390454
987,112.23281199003395
988,205.45926712856453
989,161.2697255484527
990,174.5079248402326
991,177.16782808881544
992,167.45079676520254
993,145.88053710693202
994,104.1889075407671
995,128.83817611652194
996,126.26207499345765
997,133.21081049866916
998,128.06108495280205
999,143.78346222011896
1000,156.1334279536386
